id_venta;fecha;id_cliente;id_producto;id_tienda;id_promocion;cantidad;precio_unitario;descuento
V0015425;29/08/2024;C04503;P0332;T014;PR012;3;27.59;0.2
V0006522;2025-04-30;C00818;P0131;T015;PR000;1;41.29;0.0
V0018588;28/06/2024;C02313;P0085;T011;PR000;1;14.38;
V0001616;08/08/2025;C02941;P0123;T010;PR000;2;14.59;0.0
V0022504;2025-03-05;C01222;P0013;T003;PR000;1;17.19;0.0
V0001561;12/12/2025;C00803;P0023;T003;PR000;4;25.72;0.0
V0009364;27 de June de 2025;C02587;P0121;T014;PR000;1;42.61;0.0
V0017031;06/04/2025;C04608;P0362;T008;PR000;5;6.21;0.0
V0028924;05/09/2025;C02096;P0208;T014;PR000;2;24.36;0.0
V0025967;02/07/2024;C01648;P0365;T002;PR000;3;38.14;0.0
V0018896;26/04/2025;C03497;P0426;T014;PR000;1;11.21;0.0
V0013536;2024-10-29;C04676;P0243;T011;PR000;2;17.26;0.0
V0022317;13 de July de 2025;C01621;P0367;T004;PR000;1;44.2;0.0
V0021071;2024-01-20;C01336;P0154;T013;PR000;2;20.03;0.0
V0015402;2024-11-27;C01172;P0071;T002;PR000;1;18.54;0.0
V0026736;11/05/2025;C04068;P0286;T012;PR000;1;21.73;0.0
V0009138;2024-12-13;C04867;P0131;T003;PR000;2;45.99;0.0
V0016987;2024-07-11;C02755;P0102;T001;PR000;4;17.29;0.0
V0023503;15/12/2024;C01502;P0292;T001;PR019;4;16.42;0.1
V0005642;2025-09-25;C00136;P0394;T002;PR022;1;18.28;0.15
V0007668;2024-06-24;C00466;P0185;T001;PR004;1;18.55;0.1
V0003529;11/10/2024;C02813;P0485;T002;PR000;1;45.75;0.0
V0025223;26/12/2025;C03664;P0333;T001;PR000;1;15.22;0.0
V0017986;27/01/2024;C03082;P0304;T009;PR000;1;14.4;0.0
V0023086;23/01/2025;C02660;P0135;T009;PR000;4;12.27;0.0
V0023701;2024-02-26;C03108;P0274;T007;PR000;1;12.58;0.0
V0000663;23/11/2025;C00021;P0404;T008;PR000;2;75.52;0.0
V0011129;05/12/2024;C04077;P0140;T013;PR019;6;7.73;0.1
V0024269;2024-11-20;C01502;P0365;T011;PR030;4;36.89;0.15
V0022962;26/07/2024;C02654;P0056;T014;PR000;2;28.56;0.0
V0011302;28/02/2025;C01808;P0023;T015;PR000;3;24.9;0.0
V0002383;06/05/2024;C00792;P0171;T006;PR000;2;22.2;0.0
V0028383;2025-08-11;C00590;P0093;T002;PR000;1;16.75;
V0000891;27/12/2024;C02100;P0304;T001;PR000;1;14.49;0.0
V0005505;2025-02-26;C04187;P0446;T007;PR000;1;26.03;0.0
V0016424;2025-09-16;C04505;P0208;T001;PR026;1;24.55;0.15
V0024949;07/06/2024;C04424;P0088;T005;PR000;1;12.63;0.0
V0020259;30/05/2024;C01418;P0006;T002;PR000;2;15.51;
V0008294;22 de November de 2024;C00416;P0314;T003;PR000;5;21.11;0.0
V0014609;01/08/2025;C02193;P0129;T004;PR000;6;19.54;0.0
V0014339;2024-02-20;C04144;P0085;T006;PR000;2;13.99;0.0
V0006245;2025-08-08;C00502;P0073;T002;PR000;3;38.08;0.0
V0009226;31/12/2024;C00691;P0186;T008;PR000;1;11.71;0.0
V0018899;21/02/2025;C00486;P0366;T006;PR000;5;25.13;0.0
V0024112;24/02/2025;C00927;P0324;T010;PR000;1;244.24;0.0
V0017542;2024-02-17;C01502;P0075;T007;PR037;1;3.99;0.25
V0024143;16/07/2024;C04881;P0152;T004;PR000;2;17.87;0.0
V0017904;18/07/2025;C02469;P0343;T014;PR000;1;12.41;0.0
V0026521;2024-11-15;C02225;P0281;T004;PR000;3;32.8;0.0
V0006540;20/02/2025;C01002;P0224;T008;PR000;3;38.35;0.0
V0001587;07/02/2024;C01894;P0481;T015;PR000;1;17.48;0.0
V0013285;08/12/2024;C04881;P0483;T011;PR000;1;23.34;0.0
V0000609;06/10/2024;C03231;P0428;T007;PR000;5;46.52;0.0
V0022483;2024-04-06;C00199;P0113;T010;PR000;2;48.96;0.0
V0003856;21/08/2024;C01839;P0201;T007;PR000;1;27.05;0.0
V0018295;2025-12-07;C04326;P0500;T009;PR000;3;40.16;0.0
V0023980;2024-01-28;C01591;P0247;T001;PR024;1;20.22;0.1
V0025901;22/12/2025;C04911;P0156;T006;PR000;2;25.26;0.0
V0016152;11/09/2025;C03959;P0372;T010;PR026;5;11.87;0.15
V0018541;2024-06-30;C00158;P0142;T009;PR020;1;19.47;0.2
V0008662;31/03/2025;C04647;P0114;T010;PR000;1;13.74;0.0
V0010237;10/08/2025;C03780;P0217;T006;PR000;1;13.41;0.0
V0019645;2024-08-28;C04718;P0131;T009;PR012;4;46.25;0.2
V0000646;30 de September de 2024;C04842;P0166;T006;PR000;2;17.89;0.0
V0022991;2025-04-23;C02469;P0129;T014;PR000;1;19.91;0.0
V0002224;2024-05-08;C03352;P0073;T003;PR000;5;36.97;0.0
V0003263;15/04/2024;C02933;P0417;T015;PR009;1;12.48;0.25
V0022785;16 de July de 2024;C01502;P0093;T005;PR000;3;17.34;
V0016057;2025-07-12;C00931;P0222;T012;PR000;1;14.07;0.0
V0006473;10/10/2024;C03108;P0073;T011;PR000;1;37.43;0.0
V0019326;05/01/2025;C02587;P0156;T007;PR000;1;24.58;0.0
V0002549;2024-06-15;C04435;P0276;T007;PR000;1;40.21;0.0
V0024227;14/06/2024;C04425;P0381;T003;PR000;2;26.98;0.0
V0024018;2025-05-10;C00795;P0010;T005;PR000;2;30.88;
V0001610;2024-04-08;C04843;P0494;T002;PR000;1;18.44;0.0
V0023406;24 de May de 2025;C04288;P0033;T013;PR000;1;22.28;0.0
V0022654;06/11/2024;C00927;P0144;T008;PR000;2;37.28;0.0
V0007205;2025-05-26;C01502;P0407;T004;PR000;1;238.44;0.0
V0006076;2024-10-22;C04427;P0096;T014;PR017;1;12.66;
V0002634;21/09/2025;C01091;P0220;T009;PR000;2;12.4;0.0
V0029887;2024-02-17;C02085;P0087;T012;PR000;1;6.67;0.0
V0002421;2024-07-24;C01825;P0305;T002;PR000;1;12.27;0.0
V0002581;04/02/2024;C03007;P0196;T015;PR000;1;24.1;0.0
V0025506;22/02/2025;C04374;P0461;T003;PR000;1;14.12;0.0
V0013286;2024-07-05;C04176;P0491;T013;PR000;1;22.77;0.0
V0005998;13/12/2024;C04440;P0158;T015;PR000;2;21.45;0.0
V0019534;14/08/2025;C02587;P0147;T002;PR000;2;13.79;0.0
V0026634;2025-08-05;C02754;P0064;T009;PR000;5;23.85;0.0
V0029905;01/04/2025;C04458;P0207;T011;PR000;1;6.44;0.0
V0025966;21 de December de 2025;C00046;P0014;T001;PR000;5;17.43;0.0
V0004674;2024-12-15;C01233;P0355;T013;PR019;2;19.24;0.1
V0016176;2024-01-31;C04798;P0208;T015;PR024;3;25.4;0.1
V0010449;27 de August de 2025;C00706;P0335;T002;PR014;4;21.0;0.05
V0028752;03/07/2024;C02847;P0168;T013;PR000;2;15.42;0.0
V0009308;31/05/2024;C01671;P0201;T005;PR000;1;26.74;0.0
V0008490;2024-03-02;C01591;P0025;T002;PR027;3;15.06;0.1
V0015045;04 de September de 2024;C04446;P0355;T003;PR039;1;17.95;0.05
V0018435;02/09/2024;C04258;P0331;T011;PR015;2;6.88;0.25
V0003537;15/08/2024;C00916;P0390;T015;PR000;1;41.5;0.0
V0028434;25/03/2025;C01506;P0075;T010;PR000;5;3.67;0.0
V0005751;16/07/2025;C01557;P0367;T008;PR000;1;45.23;0.0
V0021615;2025-12-03;C03817;P0372;T006;PR000;2;11.58;0.0
V0004534;26/03/2024;C03457;P0369;T011;PR000;3;18.02;0.0
V0027837;2024-05-11;C04478;P0384;T012;PR000;3;40.63;0.0
V0028783;2025-03-21;C04253;P0480;T008;PR016;6;32.4;0.05
V0008679;30 de March de 2024;C01084;P0394;T011;PR000;1;17.76;0.0
V0003043;2024-10-13;C01351;P0449;T006;PR000;1;48.46;0.0
V0028751;20/04/2025;C04867;P0314;T007;PR000;1;20.55;0.0
V0000134;2025-07-29;C04798;P0335;T009;PR000;4;20.42;0.0
V0023996;01/07/2024;C04763;P0014;T013;PR000;2;17.58;0.0
V0003361;2025-05-24;C03713;P0446;T003;PR000;1;26.36;0.0
V0021801;2025-05-06;C00107;P0030;T009;PR000;4;32.1;0.0
V0011193;2025-10-04;C03569;P0186;T004;PR000;3;11.12;0.0
V0013477;2024-08-23;C00334;P0123;T010;PR000;1;14.76;0.0
V0015316;2025-07-16;C01640;P0246;T009;PR000;1;24.94;0.0
V0018766;2025-07-17;C04137;P0314;T003;PR000;1;20.86;0.0
V0013022;11/07/2024;C01036;P0494;T004;PR004;1;17.91;0.1
V0009310;17 de April de 2025;C04979;P0426;T013;PR000;1;11.26;0.0
V0014388;29 de May de 2025;C01575;P0416;T003;PR000;1;17.81;0.0
V0029266;27/07/2024;C01336;P0398;T012;PR000;1;12.54;0.0
V0017361;2024-12-09;C01966;P0418;T001;PR000;1;13.16;0.0
V0011215;02/12/2024;C03544;P0251;T007;PR000;3;26.0;0.0
V0006810;26/07/2025;C04213;P0421;T013;PR000;1;20.2;0.0
V0002349;01/01/2024;C01601;P0319;T008;PR003;1;10.94;0.2
V0009788;31/12/2024;C04285;P0133;T015;PR000;1;24.1;0.0
V0003243;2024-06-06;C00706;P0364;T002;PR000;3;32.21;0.0
V0007171;2025-05-07;C04690;P0272;T006;PR000;2;16.85;0.0
V0024662;02/06/2025;C00305;P0480;T006;PR000;1;30.83;0.0
V0024032;2024-12-31;C04176;P0425;T008;PR000;1;8.92;0.0
V0029831;01/02/2025;C01502;P0415;T001;PR000;5;27.85;0.0
V0021133;2024-08-24;C02261;P0461;T013;PR000;1;14.09;0.0
V0016129;23/08/2024;C02324;P0372;T007;PR000;1;11.32;0.0
V0025259;2025-07-13;C02100;P0469;T005;PR000;2;26.63;0.0
V0008639;26/04/2024;C04670;P0182;T011;PR000;1;22.21;0.0
V0027038;25/07/2025;C00916;P0467;T007;PR000;3;10.1;0.0
V0005783;14/05/2025;C00317;P0332;T010;PR006;2;27.22;0.2
V0001758;2025-10-24;C02822;P0058;T013;PR000;3;14.05;0.0
V0010212;21/07/2024;C01261;P0001;T003;PR000;1;11.34;0.0
V0026129;2025-01-04;C03942;P0097;T003;PR000;40;18.05;0.0
V0002707;2024-01-31;C02258;P0436;T010;PR000;2;13.84;0.0
V0014068;15/11/2025;C01706;P0103;T004;PR000;6;17.18;0.0
V0005710;30/05/2025;C02587;P0195;T001;PR000;3;18.87;0.0
V0026785;19/04/2025;C04693;P0339;T009;PR000;6;9.46;0.0
V0005856;08/07/2025;C03007;P0427;T003;PR000;1;21.05;0.0
V0027225;31/07/2024;C02359;P0339;T015;PR000;3;9.76;0.0
V0017980;2025-04-04;C03821;P0465;T004;PR000;1;15.11;0.0
V0009777;2025-08-13;C04012;P0308;T006;PR000;1;23.25;0.0
V0019898;23 de March de 2024;C02465;P0058;T012;PR000;4;13.71;0.0
V0025091;2025-12-12;C03949;P0281;T004;PR000;2;32.49;0.0
V0015619;2025-10-29;C01435;P0339;T012;PR000;4;9.41;0.0
V0026145;14 de December de 2025;C00415;P0426;T007;PR000;1;11.71;0.0
V0003610;2025-08-18;C04736;P0464;T010;PR000;2;12.9;0.0
V0006531;08/08/2024;C03343;P0217;T002;PR000;5;14.16;0.0
V0002778;13/03/2025;C00472;P0181;T015;PR016;2;30.29;0.05
V0008489;17 de April de 2024;C01137;P0271;T004;PR009;4;7.43;0.25
V0014879;2025-07-18;C01908;P0436;T003;PR000;1;13.4;0.0
V0007621;2024-05-13;C04967;P0363;T003;PR013;3;16.23;0.15
V0003913;10/10/2025;C03843;P0462;T004;PR000;3;17.33;
V0024665;12/07/2024;C03257;P0325;T003;PR018;1;22.95;0.1
V0010628;18/05/2024;C02368;P0174;T013;PR013;1;24.38;0.15
V0014663;03/03/2024;C02465;P0426;T014;PR000;3;11.3;0.0
V0016462;2025-06-27;C00950;P0481;T008;PR000;2;17.67;0.0
V0009156;2024-06-08;C03691;P0102;T010;PR000;3;17.11;0.0
V0018092;16/06/2024;C03989;P0368;T009;PR000;2;12.57;0.0
V0017122;26/05/2024;C01336;P0357;T004;PR000;1;13.39;
V0025776;17/08/2024;C02299;P0038;T013;PR000;3;30.74;0.0
V0007592;04/12/2025;C02651;P0125;T005;PR000;1;21.47;0.0
V0016024;2024-12-25;C00829;P0357;T001;PR000;2;13.69;0.0
V0008590;21/07/2024;C02419;P0410;T013;PR018;1;20.19;0.1
V0016221;26/05/2024;C04393;P0251;T008;PR000;5;28.36;0.0
V0000199;15/01/2024;C03144;P0001;T006;PR000;2;10.98;0.0
V0010250;2024-10-09;C00706;P0198;T011;PR000;2;72.88;0.0
V0016716;2024-04-09;C02654;P0332;T009;PR009;1;26.51;0.25
V0023250;22/01/2024;C00196;P0009;T010;PR000;1;13.87;0.0
V0028508;2024-04-03;C01240;P0104;T001;PR000;1;18.13;0.0
V0003501;27/08/2024;C03340;P0147;T005;PR000;1;13.97;0.0
V0022525;16/07/2025;C02923;P0156;T012;PR000;1;25.52;0.0
V0026748;28/02/2024;C04370;P0477;T011;PR000;2;10.02;0.0
V0018706;01/06/2025;C03507;P0261;T009;PR000;1;12.55;0.0
V0016718;17/04/2025;C00714;P0400;T002;PR000;2;12.0;0.0
V0012811;22/10/2025;C02028;P0426;T004;PR028;2;11.07;0.05
V0019919;06/06/2024;C01502;P0074;T012;PR000;1;26.89;0.0
V0029314;08/08/2025;C03160;P0362;T007;PR000;1;6.36;0.0
V0007862;20 de December de 2025;C02414;P0421;T011;PR000;2;21.17;0.0
